Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions,0.8738709070704193,0.8455746393395235,0.902167174801315,0.9935391695778617,0.9911587204254274,0.995919618730296,0.4916892601117448,0.4795055131269082,0.5038730070965813
PlmDomainsMLP__ankh_base_with_minor_reactions,0.8431856702336016,0.807228546515157,0.8791427939520462,0.9933173695360898,0.9902801600646843,0.9963545790074954,0.4853418390990141,0.4723402228558255,0.49834345534220276
PlmDomainsMLP__esm-2_with_minor_reactions,0.8759543561397213,0.8369329215585966,0.914975790720846,0.9932063763327924,0.9890820123669596,0.9973307402986252,0.4917987935955752,0.47971093814811994,0.5038866490430305
PlmDomainsMLP__tps_esm-1v_with_minor_reactions,0.8850678907222777,0.8638093254113803,0.906326456033175,0.9939210871622794,0.9919605766412408,0.9958815976833181,0.4920986458855644,0.48029341845580464,0.5039038733153242
PlmDomainsMLP__ankh_large_with_minor_reactions,0.8507589506825892,0.8147270914756063,0.8867908098895722,0.9931861146244789,0.9899147352312189,0.996457494017739,0.48838307564823613,0.4729038623223228,0.5038622889741495
PlmXgb__tps_ankh_base_with_minor_reactions,0.8613781442536032,0.8235258456722854,0.8992304428349209,0.9926428980648899,0.9882796254818238,0.997006170647956,0.49326049352010287,0.4796337122271789,0.5068872748130269
PlmXgb__esm-1v_with_minor_reactions,0.8519110491558615,0.8097664659496382,0.8940556323620847,0.9917075350603668,0.9868778378422642,0.9965372322784694,0.49230111775357804,0.47934842478386974,0.5052538107232863
PlmXgb__tps_esm-1v-subseq_with_minor_reactions,0.8776170818894151,0.8516336118998535,0.9036005518789767,0.9927083711140999,0.988721276360804,0.9966954658673959,0.4950165780203291,0.4813863573568084,0.5086467986838499
PlmXgb__ankh_base_with_minor_reactions,0.8535441444198899,0.8146797742543214,0.8924085145854584,0.9926601930761911,0.9885054203785179,0.9968149657738644,0.49987913145715873,0.4844183000030786,0.5153399629112388
PlmXgb__esm-2_with_minor_reactions,0.8490237162203932,0.8184569252372553,0.879590507203531,0.9915365217073241,0.987115066749626,0.9959579766650222,0.4910443281088273,0.4786828319589775,0.5034058242586772
PlmXgb__tps_esm-1v_with_minor_reactions,0.8497467571694423,0.8180993882207444,0.8813941261181402,0.9915365175702124,0.9874223341601704,0.9956507009802544,0.48903023499750026,0.4763456439083013,0.5017148260866992
PlmXgb__ankh_large_with_minor_reactions,0.8513691010115629,0.8253179097862179,0.877420292236908,0.9920497482697169,0.9881397844585955,0.9959597120808383,0.5021795255973607,0.48860004225891035,0.5157590089358111
DomainsRandomForest__with_minor_reactions,0.793754167568401,0.7516376575642055,0.8358706775725965,0.9367529782990254,0.9234847857925482,0.9500211708055025,0.5895142773075773,0.5708552831417198,0.6081732714734348
DomainsRandomForest__with_minor_reactions_global_tuning,0.8036654634779864,0.7618239639993949,0.8455069629565779,0.9409374484394563,0.9274486320528964,0.9544262648260161,0.5924627504364472,0.5733148531409935,0.611610647731901
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,0.8823697678590062,0.8487645984921383,0.9159749372258742,0.9942680535266052,0.9912498615318138,0.9972862455213966,0.5723449647485529,0.55240563297154,0.5922842965255658
